phrasal	meaning	significado	phrase	frase	position
get along	leave.	sair.	It's late; we must be getting along.	Está tarde; Devemos estar saindo.	2325
get along	progress.	progresso.	How's the homework getting along?	Como vai o progresso do dever de casa?	2326
get along	to have good interactions with others.	ter boas interações com os outros.	Why don't you two get along? You're always arguing.	Por que vocês dois não se dão bem? Vocês estão sempre discutindo.	2327
get along	interact or coexist well, without argument or trouble	interagir ou conviver bem, sem discussões ou problemas			2328
get along	survive; to do well enough	sobreviver; fazer bem o suficiente			2329
get along in	progress.	progresso, progredir, avançar	How are you getting along in the company.	Como você está se dando na empresa?	2330
get along with	to have a harmonious relationship or rapport with someone	ter um relacionamento harmonioso ou relacionamento com alguém	She gets along with her coworkers very well.	Ela se dá muito bem com seus colegas de trabalho.	2331
get along with	have a good relationship with someone.	ter um bom relacionamento com alguém.	I don't get along with my sister- we have nothing in common.	Eu não me dou bem com minha irmã, não temos nada em comum.	2332
get along with	deal with, handle.	lidar com, manipular.	How are you getting along with the training course?	Como você está lidando com o curso de treinamento?	2333
get along with	have a good relationship with someone	ter um bom relacionamento com alguém			2334
get along with	deal with, handle	lidar com, gerenciar			2335
get along with	have a good, friendly relationship with sb	ter um relacionamento bom e amigável com alguém			2336
get around	have mobility	ter mobilidade	My grandfather can get around fine in his new wheelchair.	Meu avô pode se dar bem em sua nova cadeira de rodas.	2337
get around	have mobility		My grandfather can get around fine in his new wheelchair.	Meu avô pode se dar bem em sua nova cadeira de rodas.	2338
get around	become known.	tornar-se conhecido.	It didn't take long for the news to get around once it got into the newspapers.	Não demorou muito para as notícias tornarem-se conhecidas uma vez que entrou nos jornais.	2339
get around	visit many different places.	visitar muitos lugares diferentes.	He gets around a lot- he's always flying somewhere different.	Ele visita lugares aos montes, ele está sempre voando para um lugar diferente.	2340
get around	walk or go to places.	andar ou ir para lugares.	He's finding it hard to get around since the operation and spends most of his time at home.	Ele está achando difícil ir os lugares desde a operação e passa a maior parte do tempo em casa.	2341
get around	avoid a problem.	evitar um problema.	It'll be tricky, but we will find a way to get around the regulations.	Vai ser complicado, mas encontraremos uma maneira de contornar os regulamentos.	2342
get around	persuade, convince.	persuadir, convencer.	She didn't want to accept my application because it was late, but I managed to get around her.	Ela não queria aceitar minha inscrição porque era tarde, mas consegui convencê-la.	2343
get around	have personal or sexual relationships with many people.	ter relações pessoais ou sexuais com muitas pessoas.	He gets around a bit; he's always with some new girlfriend.	Ele tem relações em uma quantidade; Ele está sempre com uma nova namorada.	2344
get around	move to the other side of an obstruction	mover-se para o outro lado de uma obstrução			2345
get around	come around something	vir em torno de algo			2346
get around	avoid or bypass an obstacle	evitar ou contornar um obstáculo			2347
get around	circumvent the obligation and performance of a chore	contornar a obrigação e o desempenho de uma tarefa			2348
get around	transport oneself from place to place	transportar-se de um lugar para outro			2349
get around	be sexually promiscuous	ser sexualmente promíscuo			2350
get around to	finally find time to do	finalmente encontrar tempo para fazer	I don't know when I am going to get around to writing the thank you cards.	Não sei quando vou encontrar tempo para escrever os cartões de agradecimento.	2351
get around to	to do something that needed to get done at an earlier time.	fazer algo que precisava ser feito mais cedo.	It always takes me ages to get around to replying to letters.	Isso sempre me toma tempo para conseguir responder às cartas.	2352
get around to	finally manage to do something, make the effort to do something.	finalmente conseguir fazer alguma coisa, se esforçar em fazer algo.	It always takes me ages to get around to replying to letters.	Isso sempre me toma tempo para conseguir responder às cartas.	2353
get around to	to do something that needed to get done at an earlier time.	fazer algo que precisava ser feito mais cedo.	It always takes me ages to get around to replying to letters.	Isso sempre me toma tempo para conseguir responder às cartas.	2354
get around to	eventually begin or return to some procrastinated task	eventualmente, começar ou retornar a alguma tarefa procrastinada			2355
get around to something	finally find time to do		I don't know when I am going to get around to writing the thank you cards.	Não sei quando vou encontrar tempo para escrever os cartões de agradecimento.	2356
get at	criticise.	criticar	His boss is always getting at him for arriving late.	O chefe dele está sempre criticando-o por chegar atrasado.	2357
get at	mean.	significar	What do you think she's getting at? I've no idea what she wants.	O que você acha que ela está dizendo? Eu não tenho ideia do que ela quer.	2358
get at	be able to reach, find, access.	ser capaz de alcançar, encontrar, acesso.	It's on the top shelf and I can't get at it.	Está na prateleira superior e não consigo alcançar.	2359
get at	use threats, payments, bribes, etc, to affect someone's testimony or decision.	usar ameaças, pagamentos, subornos, etc, para afetar o testemunho ou a decisão de alguém.	The gangsters got at the jury, who found them not guilty of all charges despite the evidence presented in court.	Os gangsters subornaram ao júri, que não os acharam culpados de todas as acusações, apesar das evidências apresentadas no tribunal.	2360
get at	manage to gain access to	conseguir obter acesso a			2361
get at	understand or ascertain by investigation	compreender ou determinar por investigação			2362
get at	mean, signify	quer dizer, significar			2363
get at	attack verbally or physically; to annoy, bother	atacar verbal ou fisicamente; irritar, incomodar			2364
get at	persuade by intimidation, to tamper with	persuadir pela intimidação, adulterar			2365
get at	contact someone	entrar em contato com alguém			2366
get away	to escape a person or a place; to go on holiday	escapar de uma pessoa ou de um lugar; ir de férias	I've been trying to get away from the office since before 6 p.m.	Eu tenho tentado fugir do escritório desde antes das 6 da tarde.	2367
get away	to escape a person or a place; to go on holiday	escapar de uma pessoa ou de um lugar; ir de férias	Are you trying to get away from me?	Estás a tentar afastar-te de mim?	2368
get away	to escape a person or a place; to go on holiday	escapar de uma pessoa ou de um lugar; ir de férias	I'm going to get away for a few days.	Vou fugir por uns dias.	2369
get away	go on a vacation	sair de férias	We worked so hard this year that we had to get away for a week.	Trabalhamos tanto este ano que tivemos que fugir por uma semana.	2370
get away	to escape or go on a vacation	fugir ou ir de férias	Let's get away from the city and relax at the beach.	Vamos fugir da cidade e relaxar na praia.	2371
get away	to escape from something.	escapar de algo.	The robbers got away in a stolen car, which the police later found abandoned.	Os ladrões se escaparam em um carro roubado, que a polícia mais tarde encontrou abandonado.	2372
get away	go on a vacation		We worked so hard this year that we had to get away for a week.	Trabalhamos tanto este ano que tivemos que fugir por uma semana.	2373
get away	escape.	escapar, fugir	The robbers got away in a stolen car, which the police later found abandoned.	Os ladrões se escaparam em um carro roubado, que a polícia mais tarde encontrou abandonado.	2374
get away	go on holiday or for a short break.	ir de férias ou para uma pequena pausa.	We love to get away from everything and relax in the country.	Nós amamos dar uma pausa de tudo e relaxar no campo.	2375
get away	move, leave somewhere.	mover-se, sair para algum lugar.	He didn't come because he was stuck at work and couldn't get away.	Ele não veio porque estava preso no trabalho e não podia sair.	2376
get away	to escape from something.	escapar de algo.	The robbers got away in a stolen car, which the police later found abandoned.	Os ladrões se escaparam em um carro roubado, que a polícia mais tarde encontrou abandonado.	2377
get away	an expression of disbelief.	uma expressão de descrença.	I passed. get away! You couldn't have passed.	Eu passei. Afaste-se! Você não poderia ter passado.	2378
get away	move away (from)	mudar-se de			2379
get away	avoid capture; to escape (from) 	evitar captura; escapar de			2380
get away	take a break from one's present circumstances	fazer uma pausa nas circunstâncias atuais			2381
get away	start moving; to depart	começar a se mover; partir			2382
get away	slip from one's control	fugir do controle			2383
get away	to have a holiday or vacation	tirar férias ou feriado			2384
get away	to travel or take a trip.	viajar ou fazer uma viajem	We should get away this summer, maybe to Aruba.		2385
get away	to be forgotten.	ser esquecido	I know I've met her before, but her name has gotten away from me.		2386
get away	to start something at a fast pace.	começar algo em um ritmo acelerado.	The kids got away from the door as soon as I opened it.	As crianças saíram aceleradas da porta assim que a abri.	2387
get away	to stop it or go away.	parar e ir embora	Get away—you're just being annoying.		2388
get away	start out or leave quickly	começar ou sair rapidamente	The greyhounds got away from the starting gate		2389
get away	break free, escape	libertar-se, escapar	The suspect ran down the street and got away		2390
get away	to be successful in doing something that seems doomed or futile.	ser bem sucedido em fazer algo que parece condenado ou fútil.	I can't believe I got away without studying!		2391
get away	to move someone or something away from someone or something else.	afastar algo de outra coisa.	Get the kids away from the street!		2392
get away	to evade or escape someone or something.	fugir ou escapar de algo.	The robber is getting away! Stop him!		2393
get away from	go somewhere different or do something different.	ir para algum lugar diferente ou fazer algo diferente.	Work's getting on top of me; I need to get away from it.	O trabalho está me dominando; Eu preciso fugir disso.	2394
get away from	start to talk about something that is not relevant to the discussion.	começar a falar sobre algo que não é relevante para a discussão.	I think we're getting away from the point here- we need to concentrate on the main ideas.	Acho que estamos fugindo do ponto aqui - precisamos nos concentrar nas ideias principais.	2395
get away from	start to talk about something that is not relevant to the discussion	começar a falar sobre algo que não é relevante para a discussão			2396
get away with	do without being noticed or punished	fazer sem ser notado ou punido	Jason always gets away with cheating in his maths tests.	Jason sempre consegue trapacear em seus testes de matemática.	2397
get away with	not get caught, criticised or punished for doing something wrong.	não ser pego, criticado ou punido por fazer algo errado.	Thieves got away with two Picassos, which were never found.	Ladrões escaparam com dois Picassos, que nunca foram encontrados.	2398
get away with	achieve something, despite not doing it correctly or properly.	alcançar algo, apesar de não fazê-lo corretamente.	Do you think we could get away with using the cheaper product?	Você acha que poderíamos conseguir usando o produto mais barato?	2399
get away with	escape punishment for	escapar da punição por			2400
get away with something	do without being noticed or punished		Jason always gets away with cheating in his maths tests.	Jason sempre consegue trapacear em seus testes de matemática.	2401
get back	return	retornar	We got back from our vacation last week	Voltamos de nossas férias na semana passada	2402
get back	receive something you had before	conseguir de volta	Liz finally got her Science notes back from my room-mate.	Liz finalmente conseguiu suas anotações de ciências de volta com minha colega de quarto.	2403
get back	to return to a place.	voltar para um lugar.	The train was held up so we didn't get back home until midnight.	O trem ficou parado por isso não voltamos para casa até a meia-noite.	2404
get back	return		We got back from our vacation last week	Voltamos de nossas férias na semana passada	2405
get back	return.	retorno, regresso, retornar	The train was held up so we didn't get back home until midnight.	O trem ficou parado por isso não voltamos para casa até a meia-noite.	2406
get back	return something.	retornar alguma coisa.	Don't lend him any money; you'll never get it back.	Não lhe dê dinheiro; Você nunca vai recuperá-lo.	2407
get back	revenge.	vingança, vingar	He was rude and embarrassed me, but I'll get him back.	Ele era rude e me envergonhou, mas vou vingá-lo.	2408
get back	move away.	afastar, sair	The police told the crowd to get back to allow the ambulance through.	A polícia disse à multidão para afastar para permitir que a ambulância passasse.	2409
get back	to return to a place.	voltar para um lugar.	The train was held up so we didn't get back home until midnight.	O trem ficou parado por isso não voltamos para casa até a meia-noite.	2410
get back	return to where one came from	voltar para onde veio			2411
get back	retrieve, to have an item returned	recuperar, ter um item devolvido			2412
get back	do something to hurt or harm someone who has hurt or harmed you	fazer algo para machucar ou prejudicar alguém que machucou ou prejudicou você			2413
get back at	to do something bad to someone because they've done something bad to you	fazer algo ruim para alguém porque eles fizeram algo ruim para você	Tim was determined to get back at his neighbor.	Tim estava determinado a voltar para seu vizinho.	2414
get back at	to do something bad to someone because they've done something bad to you	fazer algo ruim para alguém porque eles fizeram algo ruim para você	I'll get back at him because he has hurt me so badly.	Eu vou voltar para ele porque ele me machucou muito.	2415
get back at	to do something bad to someone because they've done something bad to you	fazer algo ruim para alguém porque eles fizeram algo ruim para você	No one could prevent Sue from getting back at her step-mother for her mistreatment.	Ninguém poderia impedir Sue de voltar para sua madrasta por seus maus tratos.	2416
get back at	retaliate, take revenge	retaliar, vingar-se	My sister got back at me for stealing her shoes. She stole my favourite hat.	Minha irmã voltou para mim por roubar seus sapatos. Ela roubou meu chapéu favorito.	2417
get back at	to get revenge on someone	se vingar de alguém	Her ex-husband took her house so she got back at him by taking his dogs.	Seu ex-marido levou sua casa, então ela voltou para ele, levando seus cães.	2418
get back at	to get revenge.	se vingar.	I'll get back at her for landing me in trouble.	Vou vingar-me dela por me colocar em apuros.	2419
get back at	take revenge.	vingar-se.	I'll get back at her for landing me in trouble.	Vou vingar-me dela por me colocar em apuros.	2420
get back at	to get revenge.	se vingar.	I'll get back at her for landing me in trouble.	Vou vingar-me dela por me colocar em apuros.	2421
get back at	retaliate against; to take revenge on	retaliar; se vingar			2422
get back at somebody	retaliate, take revenge		My sister got back at me for stealing her shoes. She stole my favourite hat.	Minha irmã voltou para mim por roubar seus sapatos. Ela roubou meu chapéu favorito.	2423
get back into	become interested in something again	se tornar interessado em algo novamente	I finally got back into my novel and finished it.	Finalmente voltei ao meu romance e terminei.	2424
get back into	start doing something after stopping for some time.	começar a fazer algo depois de parar por algum tempo.	I am getting back into my Khmer lessons after the summer break.	Estou voltando para minhas lições de Khmer depois da pausa de verão.	2425
get back into	find a new enthusiasm for something.	encontrar um novo entusiasmo por alguma coisa.	I lost interest for a while, but I'm getting back into it.	Perdi o interesse por um tempo, mas estou me entusiasmando novamente nisso.	2426
get back into something	become interested in something again		I finally got back into my novel and finished it.	Finalmente voltei ao meu romance e terminei.	2427
get back to	to communicate with someone at a later time because you were busy earlier	se comunicar com alguém mais tarde, porque você estava ocupado antes	I'll get back to you later.	Eu volto para ti mais tarde.	2428
get back to	to communicate with someone at a later time because you were busy earlier	se comunicar com alguém mais tarde, porque você estava ocupado antes	Remember to get back to him tomorrow. He's been waiting for you the whole morning.	Lembra-te de voltar para ele amanhã. Ele esteve à tua espera a manhã toda.	2429
get back to	to communicate with someone at a later time because you were busy earlier	se comunicar com alguém mais tarde, porque você estava ocupado antes	I'll get back to work soon.	Voltarei ao trabalho em breve.	2430
get back to	when you talk to someone at a later time either because you are busy or you have obtained additional or new information.	quando você conversa com alguém posteriormente, porque está ocupado ou obteve informações adicionais ou novas.	I'll get back to you as soon as I hear any news.	Vou responder a você assim que ouvir alguma notícia.	2431
get back to	respond to a contact.	responder a um contato.	I'll get back to you as soon as I hear any news.	Vou responder a você assim que ouvir alguma notícia.	2432
get back to	respond when you know the answer.	responder quando você sabe a resposta.	I don't know at the moment, but I will get back to you as soon as I have the information.	Não sei no momento, mas responderei para você assim que tiver a informação.	2433
get back to	start doing something again after an interruption.	começar a fazer algo novamente depois de uma interrupção.	It took me ages to get back to sleep after the phone rang.	Me levou tempo para voltar a dormir depois que o telefone tocou.	2434
get back to	when you talk to someone at a later time either because you are busy or you have obtained additional or new information.	quando você conversa com alguém posteriormente, porque está ocupado ou obteve informações adicionais ou novas.	I'll get back to you as soon as I hear any news.	Vou responder a você assim que ouvir alguma notícia.	2435
get back to	return contact with	retornar contato com			2436
get back to	telephone someone later	telefonar para alguém mais tarde			2437
get back together	restart a relationship.	reatar um relacionamento.	We split up a few months ago but got back together last week.	Nós nos separamos há alguns meses, mas reatamos na semana passada.	2438
get back with	to have a sexual or romantic relationship with someone with whom you had a previous relationship	ter um relacionamento sexual ou romântico com alguém com quem você teve um relacionamento anterior	Are you trying to get back with him?	Estás a tentar voltar com ele?	2439
get back with	to have a sexual or romantic relationship with someone with whom you had a previous relationship	ter um relacionamento sexual ou romântico com alguém com quem você teve um relacionamento anterior	Don't get back with her. She's such an arrogant woman.	Não voltes com ela. Ela é uma mulher tão arrogante.	2440
get back with	to have a sexual or romantic relationship with someone with whom you had a previous relationship	ter um relacionamento sexual ou romântico com alguém com quem você teve um relacionamento anterior	Getting back with him seemed impossible.	Voltar com ele parecia impossível.	2441
get behind	to fail to do something as quickly as required	deixar de fazer algo o mais rápido possível	We were getting behind in our work.	Estávamos ficando para trás em nosso trabalho.	2442
get behind	to fail to do something as quickly as required	deixar de fazer algo o mais rápido possível	Jenny got behind on the payments for her apartment.	A Jenny ficou atrasada nos pagamentos do apartamento dela.	2443
get behind	to fail to do something as quickly as required	deixar de fazer algo o mais rápido possível	She's such a slow learner. She's always getting behind on her work.	Ela é uma aprendiz tão lenta. Ela está sempre a ficar para trás no trabalho.	2444
get behind	to learn, work, or progress more slowly than others.	aprender, trabalhar ou progredir mais lentamente que outros.	All the students got behind the teacher.	Todos os alunos apoiaram o professor.	2445
get behind	support.	apoio, suporte, apoiar	All the students got behind the teacher.	Todos os alunos apoiaram o professor.	2446
get behind	to learn, work, or progress more slowly than others.	aprender, trabalhar ou progredir mais lentamente que outros.	All the students got behind the teacher.	Todos os alunos apoiaram o professor.	2447
get behind	support	apoiar			2448
get behind with	be late paying instalments for something.	estar atrasado pagando parcelas para algo.	If you get behind with mortgage payments, you might lose your home.	Se você se atrasar com pagamentos de hipoteca, você pode perder sua casa.	2449
get behind with	be late paying instalments for something	atrasar o pagamento de parcelas de algo			2450
get by	to manage or survive with the available resources or income	gerir ou sobreviver com os recursos ou rendimentos disponíveis	They can get by with their current budget.	Eles podem sobreviver com seu orçamento atual.	2451
get by	to pass someone or something.	passar alguém ou algo assim.	They're finding it increasingly difficult to get by since their daughter was born.	Eles estão achando cada vez mais difícil ganhar dinheiro suficiente desde que sua filha nasceu.	2452
get by	have just enough money to live on.	ter dinheiro suficiente para viver.	They're finding it increasingly difficult to get by since their daughter was born.	Eles estão achando cada vez mais difícil ganhar dinheiro suficiente desde que sua filha nasceu.	2453
get by	not be noticed (problems, errors, etc).	não ser notado (problemas, erros, etc).	I had checked it, but there still were a few mistakes that didn't get by the editor.	Eu tinha verificado, mas ainda havia alguns erros que não consegui notar no editor.	2454
get by	to pass someone or something.	passar alguém ou algo assim.	They're finding it increasingly difficult to get by since their daughter was born.	Eles estão achando cada vez mais difícil ganhar dinheiro suficiente desde que sua filha nasceu.	2455
get by	subsist; to succeed, survive, or manage, at least at a minimal level	subsistir; ter sucesso, sobreviver ou administrar, pelo menos em um nível mínimo			2456
get by on	manage on a certain amount of money.	gerenciar uma certa quantia de dinheiro.	It's hard to get by on my salary.	É difícil gerenciar meu salário.	2457
get by with	have enough of something to do the job.	ter algo suficiente para fazer o trabalho.	We should be able to get by with three PCs, but four would be better.	Devemos ser capazes de ter três PCs, mas quatro seria melhor.	2458
get carried away	lose self-control, to be so excited about something that you lose control of your feelings or behaviour	estar tão excitado por algo que você perde o controle dos seus sentimentos ou do teu comportamento	Calm down, kid. Don't get carried away now.	Acalme-se, garoto. Não se deixe levar agora.	2459
get down	to make someone sad or depressed	deixar alguém triste ou deprimido	His story really got me down.	A história dele realmente me deixou para baixo.	2460
get down	to make someone sad or depressed	deixar alguém triste ou deprimido	Don't let her know the truth. It will get her down.	Não a deixes saber a verdade. Vai derrubá-la.	2461
get down	to make someone sad or depressed	deixar alguém triste ou deprimido	When my work gets me down, I go traveling.	Quando meu trabalho me deixa para baixo, eu vou viajar.	2462
get down	to move to a lower place or level.	mover para um local ou nível mais baixo.	The miserable weather in winter really gets me down.	O miserável clima no inverno realmente me deixa para baixo.	2463
get down	make someone depressed, unhappy, exhausted, etc..	tornar alguém deprimido, infeliz, exausto, etc.	The miserable weather in winter really gets me down.	O miserável clima no inverno realmente me deixa para baixo.	2464
get down	write, record.	escrever, registrar.	I couldn't get down everything he said.	Eu não pude escrever tudo o que ele disse.	2465
get down	manage to swallow.	conseguir engolir.	The medicine tasted horrible and it was difficult to get it down.	O medicamento tinha um sabor horrível e foi difícil digerí-lo.	2466
get down	descend, leave a vehicle.	descer, soltar um veículo.	The train pulled in and we got down.	O trem chegou na estação e nós descemos.	2467
get down	leave the table after eating.	deixar a mesa depois de comer.	When they had finished dinner, the children asked if they could get down.	Quando terminaram o jantar, as crianças perguntaram se poderiam deixar a mesa.	2468
get down	reduce.	reduzir, diminuir	The doctor says I my get my cholesterol levels down.	O médico diz que eu tenho que reduzir meus níveis de colesterol.	2469
get down	have an affair or sexual relations.	ter um caso ou relações sexuais.	They got down at the party last week.	Eles transaram na festa na semana passada.	2470
get down	to move to a lower place or level.	mover para um local ou nível mais baixo.	The miserable weather in winter really gets me down.	O miserável clima no inverno realmente me deixa para baixo.	2471
get down	bring or come down; descend	trazer ou descer			2472
get down	depress; discourage; fatigue	deprimir; desencorajar; fadiga			2473
get down	swallow	engolir			2474
get down	relax and enjoy oneself completely; be uninhibited in one's enjoyment	relaxar e divirtir-se completamente; ser desinibido em seu prazer			2475
get down	duck or take cover, usually to avoid harm	abaixar-se ou protejer-se, geralmente para evitar danos			2476
get down	leave the table after dining	sair da mesa depois de jantar			2477
get down	record in writing	registrar por escrito			2478
get down on	criticise.	criticar	My mother used to get down on us for not doing enough homework.	Minha mãe costumava nos criticar por não fazer lição de casa suficiente.	2479
get down on	criticise	criticar			2480
get down to	start working seriously.	começar a trabalhar seriamente.	I find it extremely difficult to get down to doing any revision for examinations.	Eu acho extremamente difícil começar seriamente a fazer qualquer revisão para exames.	2481
get down to	enjoy something a lot.	aproveitar muito alguma coisa.	People were getting down to the concert.	As pessoas estavam aproveitando o show.	2482
get down to	start working seriously	começar a trabalhar seriamente			2483
get in	to enter or arrive at a place	entrar ou chegar a um lugar	He needs to get in before the meeting starts.	Ele precisa de entrar antes do início da reunião.	2484
get in	to arrive or enter a place, room, building, etc.	chegar ou entrar em um lugar, sala, prédio, etc.	The air conditioning has broken down; we'll have to get a technician in to fix it.	O ar condicionado ficou quebrado; Nós teremos que conseguir um técnico para consertá-lo.	2485
get in	arrange for someone to do a job in your home, workplace, etc.	conseguir alguém para fazer um serviço em sua casa, local de trabalho, etc.	The air conditioning has broken down; we'll have to get a technician in to fix it.	O ar condicionado ficou quebrado; Nós teremos que conseguir um técnico para consertá-lo.	2486
get in	arrive (train, plane, etc.).	chegar de (trem, avião, etc.).	Her plane gets in at 2am our time.	O avião dela chega às 2 da manhã do nosso horário.	2487
get in	arrive home.	chegar em casa.	She didn't get in till well after twelve o'clock because she'd been out for a few drinks with her mates.	Ela não chegou até bem depois de doze horas porque ela estava fora foi tomar algumas bebidas com seus companheiros.	2488
get in	enter a car or taxi.	entrar em um carro ou táxi.	The taxi pulled up and we got in.	O táxi parou e entramos.	2489
get in	buy or obtain supplies, like food.	comprar ou obter suprimentos, como alimentos.	We need to get some coffee in; we're completely out.	Precisamos comprar um café; Estamos completamente sem nada.	2490
get in	arrive at work, school, home.	chegar ao trabalho, escola, casa.	I got in late today because the train broke down.	Cheguei tarde hoje porque o trem quebrou.	2491
get in	enter a building or place.	entrar em um edifício ou local.	I borrowed her pass to get in.	Peguei emprestado o passe dela para entrar no local.	2492
get in	be elected.	ser eleito.	The government got in with a very small majority.	O governo foi eleito com uma maioria muito pequena.	2493
get in	manage to say or do.	consegir dizer ou fazer.	I couldn't get a word in throughout the meeting.	Eu não conseguia dizer uma palavra por toda a reunião.	2494
get in	be admitted to a university, club, etc.	ser admitido em uma universidade, clube, etc.	He did badly in the entrance exam and didn't get in.	Ele foi mal no exame de admissão e não foi admitido.	2495
get in	to arrive or enter a place, room, building, etc.	chegar ou entrar em um lugar, sala, prédio, etc.	The air conditioning has broken down; we'll have to get a technician in to fix it.	O ar condicionado ficou quebrado; Nós teremos que conseguir um técnico para consertá-lo.	2496
get in	bring inside a place.	trazer dentro de um lugar.	It's raining; I'd better get the washing in.	Está chovendo; É melhor eu trazer para dentro as roupas.	2497
get in	submit, apply.	enviar, aplicar.	We have to get the forms in by the end of this week.	Temos que enviar os formulários até o final desta semana.	2498
get in	pay for drinks.	pagar por bebidas.	He got the drinks in.	Ele pagou as bebidas.	2499
get in	get into or inside something, literally or figuratively	entrar em algo, literal ou figurativamente			2500
get in	enter a place; to gain access	entrar em um lugar; adquirir acesso			2501
get in	secure membership at a selective school	garantir a adesão em uma escola seletiva			2502
get in	be elected to some office	ser eleito para algum cargo			2503
get in	arrive (train, plane)	chegada (trem, avião)			2504
get in on	to take part in something	participar de alguma coisa	He can't wait to get in on the party tonight.	Mal pode esperar para entrar na festa esta noite.	2505
get in on	to take part in something	participar de alguma coisa	It's a pity you couldn't get in on the New Year festival.	É uma pena que não pudesses entrar no festival de Ano Novo.	2506
get in on	to take part in something	participar de alguma coisa	Would you like to get in on our discussion tomorrow?	Gostaria de entrar na nossa discussão amanhã?	2507
get in on	become involved.	envolver-se	The company tried to get in on our market.	A empresa tentou envolver-se no nosso mercado.	2508
get in with	become friendly with, ingratiate with.	tornar-se amigável com, agradar.	I tried to get in with them as I thought it would help me at work.	Tentei me familiarizar com eles eu pensei que me ajudariam no trabalho.	2509
get in with	become involved or associated with	envolver-se ou associar-se a			2510
get into	become involved or interested.	envolver-se ou se tornar interessado.	She's been getting into dance music recently.	Ela está se interessando em música de dança recentemente.	2511
get into	become involved in something bad or criminal.	envolver-se em algo ruim ou criminoso.	He got into drugs when he was at university.	Ele envolveu-se em drogas quando ele estava na universidade.	2512
get into	be accepted or admitted.	ser aceito ou admitido.	She did well and got into Cambridge University.	Ela se saiu bem e foi admitida em Cambridge University.	2513
get into	become or be accepted as a member.	tornar-se ou ser aceito como membro.	He got into the first team for football.	Ele foi aceito no primeiro time de futebol.	2514
get into	start a habit or way of acting or behaving.	iniciar um hábito ou maneira de agir ou se comportar.	It took me ages to get into driving on the left.	Demorei tempo para habituar na direção à esquerda.	2515
get into	be small enough to wear something.	ser pequeno o suficiente para usar alguma coisa.	I couldn't get into the boots; they were too tight.	Eu não caibo nas botas; Elas estavam muito apertadas.	2516
get into	criticise.	criticar	He got into me for doing it badly.	Ele me criticou por fazer isso mal.	2517
get into	move into an object, such that one ends up inside it	mover-se em um objeto, de modo que alguém acabe dentro dele			2518
get into	reach into an object	alcançar um objeto			2519
get into	become involved in a discussion, issue, or activity	envolver-se em uma discussão, problema ou atividade			2520
get into	enter an unfavourable state 	entrar em um estado desfavorável			2521
get into	make behave uncharacteristically	fazer se comportar de maneira incomum			2522
get it	be punished or scolded.	ser punido ou repreendido.	If you don't stop that right now, you'll really get it!	Se você não parar com isso agora, você realmente vai ser punido!	2523
get it	be punished or scolded	ser punido ou repreendido			2524
get it off	have sex.	fazer sexo.	They got it off at the party.	Eles fizeram sexo na festa.	2525
get it off with	have sex with.	fazer sexo com.	She got it off with her friend's husband.	Ela fez sexo com o marido de sua amiga.	2526
get it on	become interested or excited.	tornar-se interessado ou excitado.	The talk was dull and nobody got it on.	A palestra era aborrecedora e ninguém ficou interessado.	2527
get it on	have sex.	fazer sexo.	Did you two get it on?	Vocês dois fizeram sexo?	2528
get it on	have sex	fazer sexo			2529
get it on	engage in a fight	envolver-se em uma luta			2530
get it on	hurry up; to get a move on	se apressar; seguir em frente			2531
get it on with	have sex with.	fazer sexo com.	Did you get it on with him?	Você fez sexo com ele?	2532
get it over with	do or finish, especially said of something unpleasant	fazer ou terminar, especialmente quando se fala de algo desagradável			2533
get it together	control things in your life to achieve your aims.	controlar as coisas em sua vida para atingir seus objetivos.	If I don't get it together, I will never reach my targets.	Se eu não controlar as coisas, nunca alcançarei meus alvos.	2534
get it together	begin a relationship.	começar um relacionamento.	They only get it together at the very end of the film.	Eles só começaram um relacionamento no final do filme.	2535
get it together	to be well-organized and prepared	estar bem organizado e preparado			2536
get it up	become aroused (of a man).	levantar-se da cama após dormir.	He couldn't get it up and felt very embarrassed.	Ele não conseguia se levantar e se sentia muito envergonhado.	2537
get it up	achieve a penile erection	alcançar uma ereção peniana			2538
get it wrong	to fail to understand properly	entender errado	She's got it all wrong! That's not how it's done.	Ela tem entendido tudo errado! Não é assim que é feito.	2539
get off	to leave a bus, train, taxi or train; to tell someone to stop touching another one or something	deixar um ônibus, trem, táxi ou trem; dizer a alguém para parar de tocar em outro ou algo assim	He got off the train and left the station quickly.	Ele saiu do trem e saiu da estação rapidamente.	2540
get off	to leave a bus, train, taxi or train; to tell someone to stop touching another one or something	deixar um ônibus, trem, táxi ou trem; dizer a alguém para parar de tocar em outro ou algo assim	Get your dirty hands off me!	Tirem as mãos sujas de cima de mim!	2541
get off	to leave a bus, train, taxi or train; to tell someone to stop touching another one or something	deixar um ônibus, trem, táxi ou trem; dizer a alguém para parar de tocar em outro ou algo assim	Can you please get your shoes off my bed?	Podes tirar os sapatos da minha cama?	2542
get off	to leave or disembark from a vehicle or transportation	sair ou desembarcar de um veículo ou transporte	Please get off the bus at the next stop.	Desça do ônibus na próxima parada.	2543
get off	to leave a form of transportation, except a car.	deixar uma forma de transporte, exceto um carro.	He got off on a technicality and left the court a free man.	Ele escapou da punição em um tecnicismo e saiu do tribunal um homem livre.	2544
get off	escape punishment.	escapar da punição.	He got off on a technicality and left the court a free man.	Ele escapou da punição em um tecnicismo e saiu do tribunal um homem livre.	2545
